,index,Datetime,Input,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,length,0.0023097991943359375,11,0.3284598460617774,0.3284598460617774,0.998,0.07334669338677355,0.07160009634213696,0.1935506344681314,0.33391117174779283,0.35511022044088175,0.32470405614263875,,226.8181818181818,1.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.001386880874633789,5,0.22600000000000003,0.22600000000000003,1.0,0.04432,0.0014359015637247933,0.03250000000000003,0.1352,0.226,0.16546666666666668,,500.0,0.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,clustcr,0.2576792240142822,40,0.7254230523627074,0.7254230523627074,0.1684,0.08883610451306412,0.5861429907741921,0.5514139005011215,0.8774204429423383,0.8883610451306413,0.8763764324218615,,10.525,34.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.00131988525390625,5,0.22079999999999997,0.22079999999999997,1.0,0.043840000000000004,0.0002772483245171785,0.026000000000000016,0.1326,0.2208,0.16199999999999998,,500.0,0.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,hamming,0.00502777099609375,190,0.7559797383265956,0.7433481593792272,0.3916,0.050663942798774265,0.5814531220814736,0.6970084383119998,0.8410810003938014,0.8345250255362615,0.8315850663267589,,5.152631578947369,178.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.0013208389282226562,5,0.22400000000000003,0.22400000000000003,1.0,0.0448,9.112981215131385e-05,0.030000000000000027,0.224,0.224,0.224,,500.0,0.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,GIANA,5.469203948974609,135,0.7719666818102991,0.7603617435386942,0.334,0.06898203592814371,0.6404798782960974,0.6966473182612742,0.8743377637420516,0.8706586826347306,0.8684651912336806,,6.185185185185185,124.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.001299142837524414,5,0.2164,0.2164,1.0,0.043120000000000006,-0.0007110143840098535,0.020499999999999997,0.1734,0.2164,0.18773333333333334,,500.0,0.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,gliph2,16.683772325515747,75,0.8123610490609746,0.7968054935054191,0.1652,0.06150121065375301,0.633940880835484,0.5885809774933769,0.885561853794997,0.8934624697336562,0.8855368867049477,,5.506666666666667,67.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.0012710094451904297,5,0.22039999999999998,0.22039999999999998,1.0,0.0444,0.002080577294592177,0.025499999999999967,0.1344,0.2204,0.16306666666666667,,500.0,0.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,ismart,1.4881808757781982,134,0.7570543400093818,0.7453627977208246,0.3368,0.06935866983372922,0.6283298185164768,0.6917486668062878,0.8698518623013136,0.8657957244655582,0.8637269107195041,,6.2835820895522385,124.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.0015168190002441406,5,0.22440000000000002,0.22440000000000002,1.0,0.044879999999999996,0.0005923188634082617,0.03049999999999997,0.1804,0.2244,0.19506666666666664,,500.0,0.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,tcrdist3,"[2.982732057571411, 0.07175183296203613]",141,0.8196925153972271,0.808581404286116,0.2928,0.055464480874316935,0.6350298729461736,0.682845362190912,0.8732996757241621,0.8702185792349727,0.8664891231883957,,5.191489361702128,133.0
0,0,20230725_132001,data/vdjdb.csv,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,2500,random,0.0016150474548339844,5,0.2264,0.2264,1.0,0.045040000000000004,0.0004901975771046211,0.03300000000000001,0.1822,0.2264,0.19693333333333335,,500.0,0.0
