,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,length,0.013956069946289062,20,0.912769570473438,0.7423384466482634,0.99968,0.03357074263764405,0.0,0.0,0.6398975713201336,0.7999359795134443,0.7110225903624747,,624.8,3.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.0035903453826904297,6,0.7952500000000001,0.050583333333333334,1.0,0.13333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,clustcr,1.8073506355285645,331,0.8177655411935202,0.80764469527207,0.07488,0.018162393162393164,0.5968723274998834,0.7347437472437474,0.8606030010637497,0.8365384615384616,0.841426126267963,,2.8277945619335347,326.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.0029234886169433594,6,0.7927166666666667,0.17971666666666672,1.0,0.13333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,hamming,0.18468832969665527,861,0.8246211413345785,0.7845678286102591,0.22816,0.015486208508648902,0.510610542154125,0.6836870667904683,0.825623970992147,0.8194249649368864,0.8205739028613122,,3.3124274099883855,842.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.002849102020263672,6,0.8044333333333334,0.0468,1.0,0.13333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,GIANA,31.37386965751648,248,0.7986861324129187,0.7966700033806607,0.08712,0.044536271808999085,0.6524001674681315,0.7470702693594714,0.8663597168979775,0.8567493112947658,0.8572643731230957,,4.391129032258065,239.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.0028166770935058594,6,0.8012666666666668,0.04613333333333333,1.0,0.13333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,gliph2,13.741848945617676,488,0.8478413790935361,0.8344924329577047,0.10928,0.016471449487554905,0.6102957654600075,0.7408823569014477,0.8818439043023973,0.8594436310395315,0.8657589201860765,,2.7991803278688523,482.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.002570629119873047,6,0.7984166666666667,0.04674999999999999,1.0,0.13333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,ismart,8.151496648788452,234,0.7757037431113128,0.7707179881255579,0.08768,0.046836982968369835,0.6363384889312709,0.7336715095019084,0.8558776019297121,0.8467153284671532,0.8465877985068528,,4.683760683760684,224.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.0028548240661621094,6,0.8009499999999999,0.05015,1.0,0.13333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,tcrdist3,"[70.7143566608429, 6.681920289993286]",153,0.823525392314447,0.8200395535344905,0.0596,0.04608501118568233,0.66109382651162,0.6953316575897223,0.8816237351586487,0.8778523489932886,0.8758179281372593,,4.869281045751634,146.0
0,0,20230719_130317,CPUs,16,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,10000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,12500,random,0.0026159286499023438,6,0.7971499999999999,0.05221666666666666,1.0,0.1333333333333333,0.0,0.0,0.64,0.8,0.7111111111111111,,2083.3333333333335,0.0
