,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,length,0.0015406608581542969,13,0.19475724260229857,0.19475724260229857,1.0,0.004986149584487534,0.04870581027944477,0.05333333333333333,0.027399331635985947,0.06578947368421052,0.023511809103790388,,58.46153846153846,4.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0013480186462402344,76,0.15263157894736842,0.15263157894736842,1.0,0.0019390581717451528,0.043449081414092004,0.1413333333333334,0.09146929824561403,0.15263157894736842,0.10409356725146202,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,clustcr,0.5401468276977539,41,0.7073170731707317,0.7012195121951219,0.12763157894736843,0.015463917525773195,0.6840462791078624,0.5503401360544218,0.603853706431026,0.7216494845360825,0.6464408443789886,,2.3658536585365852,41.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0013451576232910156,76,0.15526315789473683,0.15526315789473683,1.0,0.0020083102493074797,0.04166372027391539,0.14400000000000002,0.0912280701754386,0.15526315789473685,0.10692982456140353,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,hamming,0.0013060569763183594,49,0.7353741496598639,0.7302721088435373,0.15263157894736842,0.014257294429708219,0.6550658671068169,0.6267973856209151,0.6595135467980296,0.7327586206896551,0.6723756607377296,,2.36734693877551,49.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0012447834014892578,76,0.14605263157894735,0.14605263157894735,1.0,0.0018351800554016627,0.03934526927828523,0.13466666666666668,0.08043233082706766,0.14605263157894738,0.09429824561403509,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,GIANA,14.088329792022705,55,0.6848484848484848,0.6777056277056277,0.1868421052631579,0.011737089201877934,0.5414856538558087,0.5864406779661016,0.6029454504806617,0.676056338028169,0.6179018164933657,,2.581818181818182,55.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.001338958740234375,76,0.14868421052631578,0.14868421052631578,1.0,0.0019044321329639894,0.034201262953699754,0.1373333333333333,0.08660087719298246,0.14868421052631578,0.10061090225563911,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,gliph2,7.6888463497161865,80,0.5818154761904761,0.5740773809523809,0.2723684210526316,0.007315389924085578,0.43863370288465,0.4781803542673107,0.46631062174540433,0.5652173913043478,0.48415763769557457,,2.5875,80.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0013270378112792969,76,0.14473684210526314,0.14473684210526314,1.0,0.0019390581717451526,0.019763683886595697,0.13333333333333336,0.08135964912280702,0.14473684210526316,0.0955043859649123,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,ismart,0.8719680309295654,34,0.7955182072829131,0.7955182072829131,0.11578947368421053,0.02106430155210643,0.747754616825935,0.6354166666666666,0.7189935064935065,0.7954545454545454,0.7433556342647253,,2.588235294117647,34.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0012662410736083984,76,0.14210526315789473,0.14210526315789473,1.0,0.0018524930747922444,0.03578698504498489,0.13066666666666668,0.07334743107769423,0.14210526315789473,0.0887061403508772,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,tcrdist3,"[2.0081019401550293, 0.008577108383178711]",25,0.9,0.9,0.07368421052631578,0.033068783068783074,0.9142198169345678,0.8461538461538461,0.8660714285714286,0.9107142857142857,0.880952380952381,,2.24,25.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.001256704330444336,76,0.1539473684210526,0.1539473684210526,1.0,0.001956371191135734,0.03630332075243503,0.14266666666666666,0.09155701754385966,0.15394736842105264,0.1074561403508772,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,length,0.0012519359588623047,12,0.15510005290105625,0.15510005290105625,1.0,0.005401662049861496,0.04145342441691599,0.05466666666666667,0.02448948203700888,0.06710526315789474,0.02401539584159097,,63.333333333333336,4.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.0012936592102050781,76,0.14605263157894735,0.14605263157894735,1.0,0.0019217451523545711,0.036708467794708995,0.13466666666666668,0.08901315789473685,0.14605263157894738,0.1024342105263158,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,clustcr,0.43142080307006836,18,0.9074074074074073,0.9074074074074073,0.05526315789473684,0.046296296296296294,0.9017120229910056,0.8039215686274509,0.888888888888889,0.9047619047619048,0.8865079365079364,,2.3333333333333335,18.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.0014314651489257812,76,0.14473684210526314,0.14473684210526314,1.0,0.0019044321329639898,0.036244233144625194,0.1333333333333333,0.09067982456140351,0.14473684210526316,0.10216791979949877,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,hamming,0.0013709068298339844,38,0.7828947368421053,0.7763157894736842,0.12631578947368421,0.017817982456140347,0.7882052509342783,0.6274131274131275,0.7182291666666667,0.7916666666666666,0.7425925925925926,,2.526315789473684,38.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.001260519027709961,76,0.13552631578947363,0.13552631578947363,1.0,0.001800554016620499,0.024937719487446535,0.12399999999999999,0.077609649122807,0.1355263157894737,0.08812865497076022,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,GIANA,13.967166900634766,25,0.98,0.98,0.0881578947368421,0.03950834064969271,0.9757231750488795,0.9921875,0.9925373134328358,0.9850746268656716,0.9870646766169153,,2.68,25.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.0021495819091796875,76,0.14342105263157892,0.14342105263157892,1.0,0.0019217451523545707,0.03898941669670479,0.13200000000000003,0.07462875939849625,0.14342105263157895,0.08758771929824563,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,gliph2,7.3225061893463135,19,0.9385964912280701,0.9385964912280701,0.060526315789473685,0.047314578005115085,0.9251954232121353,0.8645833333333334,0.931159420289855,0.9347826086956522,0.926548089591568,,2.4210526315789473,19.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.0013287067413330078,76,0.15131578947368418,0.15131578947368418,1.0,0.0018698060941828262,0.041907429177190134,0.13999999999999999,0.08210526315789475,0.1513157894736842,0.0975219298245614,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,ismart,1.0612671375274658,26,0.9807692307692307,0.9807692307692307,0.09078947368421053,0.0392156862745098,0.9774222444750208,0.9910714285714286,0.9927536231884058,0.9855072463768116,0.9873652917131179,,2.6538461538461537,26.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.0012977123260498047,76,0.13947368421052628,0.13947368421052628,1.0,0.0018524930747922444,0.04089956316524079,0.128,0.06672149122807017,0.1394736842105263,0.080046992481203,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,tcrdist3,"[0.5224916934967041, 0.009716987609863281]",17,1.0,1.0,0.05789473684210526,0.06198347107438015,1.0000000000000004,1.0,1.0,1.0,1.0,,2.588235294117647,17.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,beta,760,random,0.0012526512145996094,76,0.1394736842105263,0.1394736842105263,1.0,0.0018871191135734077,0.04377822374585348,0.128,0.07046679197994989,0.1394736842105263,0.0830263157894737,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,length,0.0014264583587646484,13,0.19192970983113666,0.19192970983113666,1.0,0.004986149584487535,0.03948556482458748,0.058666666666666666,0.0269145578404211,0.07105263157894737,0.02387765789307641,,58.46153846153846,4.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0012755393981933594,76,0.14210526315789473,0.14210526315789473,1.0,0.0018698060941828257,0.027982996271019755,0.13066666666666668,0.0850219298245614,0.14210526315789473,0.09771929824561404,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,clustcr,0.9815940856933594,47,0.6560283687943262,0.6560283687943262,0.14473684210526316,0.013893653516295021,0.5927745067464331,0.6022435897435897,0.5906060606060606,0.6909090909090909,0.619949494949495,,2.3404255319148937,47.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0012574195861816406,76,0.14605263157894735,0.14605263157894735,1.0,0.0019044321329639894,0.043331407279484764,0.13466666666666663,0.08864035087719298,0.14605263157894738,0.10115497076023391,,10.0,76.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,hamming,0.0013124942779541016,61,0.692896174863388,0.6754098360655738,0.19210526315789472,0.011187214611872148,0.6186098816979525,0.578369652945924,0.66029028049576,0.7123287671232876,0.6632242187036708,,2.3934426229508197,61.0
0,0,20230718_163842,Full run,1,"['alpha', 'beta']","['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,10,5,0,10,True,DBSCAN,50,0.5,True,,VDJdb,alpha,760,random,0.0012459754943847656,76,0.14473684210526314,0.14473684210526314,1.0,0.0018524930747922444,0.03954721763259492,0.1333333333333333,0.0782362155388471,0.14473684210526316,0.0930701754385965,,10.0,76.0
