,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,length,0.001926422119140625,12,0.4069217755382685,0.4069217755382685,0.9992,0.0744595676541233,0.06956655098359815,0.20027510040160637,0.34970997643009843,0.3602882305844676,0.3275061445985855,,208.16666666666666,1.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,random,0.0019698143005371094,5,0.2172,0.2172,1.0,0.044,-8.419558031759956e-05,0.02149999999999999,0.1738,0.2172,0.18826666666666664,,500.0,0.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,clustcr,0.8138949871063232,99,0.8191775396320851,0.7998172702718158,0.1888,0.0440677966101695,0.5642001492299473,0.5164683284449472,0.8603662043389005,0.8665254237288136,0.852942955219251,,4.767676767676767,93.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,random,0.0015790462493896484,5,0.22440000000000002,0.22440000000000002,1.0,0.04472,0.0008699286548497432,0.030500000000000006,0.1344,0.2244,0.1644,,500.0,0.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,hamming,0.00572514533996582,186,0.7356468819943266,0.7167400719584842,0.4008,0.046307385229540914,0.5567626753387429,0.6919997659496852,0.8247800685456808,0.8243512974051896,0.822291349119172,,5.387096774193548,175.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,random,0.0015454292297363281,5,0.22399999999999998,0.22399999999999998,1.0,0.04448,0.00041568570776915893,0.029999999999999957,0.1798,0.224,0.19453333333333334,,500.0,0.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,GIANA,35.260916233062744,146,0.7724555523294346,0.7546473331513524,0.3552,0.06644144144144144,0.6188909192549548,0.6978441250173264,0.8655297614949563,0.8637387387387387,0.8617917645426875,,6.082191780821918,137.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,random,0.0014657974243164062,5,0.22800000000000004,0.22800000000000004,1.0,0.04488000000000001,0.0021487674153253204,0.03500000000000003,0.137,0.228,0.16733333333333333,,500.0,0.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,gliph2,7.847946882247925,88,0.780183326774236,0.7707136298045391,0.1964,0.05661914460285132,0.5779099652116982,0.5327246558546384,0.8601637794309862,0.8655804480651731,0.8527035357218016,,5.579545454545454,81.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,random,0.0014307498931884766,5,0.22519999999999998,0.22519999999999998,1.0,0.0448,0.0005835791353263585,0.031499999999999966,0.1806,0.2252,0.19546666666666665,,500.0,0.0
0,0,20230720_081643,,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart', 'tcrdist3']",True,500,1,0,500,True,DBSCAN,50,0.5,True,True,VDJdb,beta,2500,ismart,1.4938552379608154,146,0.7550468272830436,0.7331290190638655,0.3596,0.06629588431590656,0.6085714849979735,0.6864690652089847,0.8589855879270226,0.8576195773081201,0.8551771855732907,,6.157534246575342,137.0
