,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,length,0.024066448211669922,22,0.9582346474397885,0.7279320277819601,0.9999636363636364,0.029534407311781034,0.0,0.0,0.8264402702656851,0.9090876031855704,0.8657960681182549,,1249.9545454545455,3.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,random,0.01182866096496582,6,0.9088533333333335,0.17573333333333332,1.0,0.15151515151515152,0.0,0.0,0.8264462809917356,0.9090909090909091,0.8658008658008658,,4583.333333333333,0.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,clustcr,4.9195756912231445,863,0.8995794952751818,0.8925966557894452,0.07727272727272727,0.009254901960784314,0.6243882108330974,0.7896059923717914,0.9165655148692008,0.8950588235294118,0.9014495001912859,,2.46234067207416,857.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,random,0.011249542236328125,6,0.9131,0.025766666666666663,1.0,0.1515151515151515,0.0,0.0,0.8264462809917356,0.9090909090909091,0.8658008658008658,,4583.333333333333,0.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,hamming,0.06584310531616211,2229,0.9151607046339862,0.870968503502939,0.2625454545454545,0.006740535549399816,0.49716487832621,0.6241367824838587,0.9020556938233987,0.9044321329639889,0.9028118099279031,,3.2391206819201437,2179.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,random,0.005844593048095703,6,0.9055866666666667,0.02508,1.0,0.1515151515151515,0.0,0.0,0.8264462809917356,0.9090909090909091,0.8658008658008658,,4583.333333333333,0.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,GIANA,52.929967164993286,637,0.8806737074835893,0.8663356645741178,0.07287272727272727,0.025948103792415175,0.6567033469622108,0.7814382586788936,0.8932376826020257,0.8807385229540918,0.8843100141473687,,3.1459968602825747,628.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,random,0.005371809005737305,6,0.9091800000000001,0.17371333333333336,1.0,0.15151515151515152,0.0,0.0,0.8264462809917356,0.9090909090909091,0.8658008658008658,,4583.333333333333,0.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,gliph2,536.1508233547211,1356,0.9205397331303506,0.9055001676483073,0.12974545454545455,0.007006726457399105,0.6073227041058787,0.7550586189948454,0.9301768139685632,0.9181614349775785,0.9225746262673036,,2.631268436578171,1346.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,random,0.0059740543365478516,6,0.9124466666666667,0.023159999999999997,1.0,0.15151515151515152,0.0,0.0,0.8264462809917356,0.9090909090909091,0.8658008658008658,,4583.333333333333,0.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,ismart,29.93611454963684,556,0.8720605077492539,0.8563273799657665,0.06727272727272728,0.02873873873873874,0.6500629217458025,0.7677445801388207,0.8842234441578818,0.8735135135135135,0.8763141706219054,,3.327338129496403,547.0
0,0,20230719_123703,OLGA,1,['beta'],"['length', 'clustcr', 'hamming', 'GIANA', 'gliph2', 'ismart']",True,500,1,25000,500,True,DBSCAN,50,0.5,True,,VDJdb,beta,27500,random,0.005821943283081055,6,0.9108133333333334,0.1751,1.0,0.1515151515151515,0.0,0.0,0.8264462809917356,0.9090909090909091,0.8658008658008658,,4583.333333333333,0.0
