,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist,"[0.24894237518310547, 0.9103267192840576]",2,0.975609756097561,0.5121951219512195,0.022,0.2484848484848485,0.0,0.0,0.928595041322314,0.9636363636363636,0.9457912457912458,,27.5,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.0017893314361572266,5,0.2164,0.2164,1.0,0.0436,-0.00016880502366777014,0.020499999999999997,0.2164,0.2164,0.2164,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist3,"[3.4748451709747314, 0.09700226783752441]",147,0.8391215372574258,0.8235886574388317,0.2936,0.05640326975476839,0.6537180321272308,0.7411741207150352,0.887916474993668,0.8869209809264306,0.8854522977017273,,4.993197278911564,140.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.0014519691467285156,5,0.22000000000000003,0.22000000000000003,1.0,0.04416,0.0003375390859274814,0.025000000000000022,0.1772,0.22,0.19146666666666665,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist,"[0.40064477920532227, 0.9526805877685547]",3,0.9673202614379085,0.6797385620915032,0.028,0.19642857142857142,0.51855777723052,0.25,0.8912946428571429,0.9285714285714286,0.9065538410486145,,23.333333333333332,1.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.001672983169555664,5,0.2292,0.2292,1.0,0.04615999999999999,0.0008840976797822765,0.03649999999999997,0.2292,0.2292,0.2292,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist3,"[2.1759698390960693, 0.10253787040710449]",144,0.824247524520185,0.8089036091762698,0.2964,0.05506072874493928,0.647146249528452,0.6908336041097426,0.8801036086561906,0.8744939271255061,0.8710983908806386,,5.145833333333333,138.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.0013301372528076172,5,0.22360000000000002,0.22360000000000002,1.0,0.04456,0.0012625229708268131,0.029500000000000012,0.1342,0.2236,0.164,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist,"[0.3490612506866455, 1.1866724491119385]",4,0.9863636363636363,0.7545454545454545,0.0332,0.18674698795180725,0.7710417468373958,0.3111111111111111,0.9413305395495023,0.963855421686747,0.952001107879795,,20.75,2.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.0015952587127685547,5,0.2204,0.2204,1.0,0.04344,-0.00010785675848597523,0.025500000000000002,0.1758,0.2204,0.19066666666666665,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist3,"[2.152104377746582, 0.11102151870727539]",155,0.8084497926989584,0.7981732950031059,0.3148,0.05870393900889455,0.6479789858964805,0.7218428578479369,0.8763672562106186,0.8754764930114358,0.8751044478421373,,5.077419354838709,147.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.0015478134155273438,5,0.2136,0.2136,1.0,0.0428,0.000517528664723429,0.017,0.08553333333333332,0.2136,0.12113333333333333,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist,"[0.3639485836029053, 0.8055911064147949]",4,0.9811320754716981,0.7547169811320755,0.0332,0.1807228915662651,0.6380157935887095,0.27272727272727276,0.9303158580267014,0.9518072289156626,0.939223560910308,,20.75,2.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.0016858577728271484,5,0.22599999999999998,0.22599999999999998,1.0,0.0448,0.0007772492320545312,0.03250000000000003,0.1816,0.226,0.1964,,500.0,0.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,tcrdist3,"[2.4490935802459717, 0.10422563552856445]",149,0.8320946792684505,0.8249358425794124,0.2968,0.05444743935309974,0.6424795437536532,0.6671911126031512,0.8807731429852468,0.8800539083557951,0.8753290470002428,,4.97986577181208,141.0
0,0,20230718_121901,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,48,1.0,True,,VDJdb,beta,2500,random,0.001506805419921875,5,0.21280000000000002,0.21280000000000002,1.0,0.04256,-0.0012760326901308857,0.016000000000000007,0.2128,0.2128,0.2128,,500.0,0.0
