,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,tcrdist,"[0.22561001777648926, 1.0881099700927734]",10,0.9044173774689789,0.9042839255116835,0.984,0.18276422764227643,0.14135604726992104,0.10212806187289057,0.43793222161265183,0.2833333333333333,0.18967321841781581,,246.0,4.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,random,0.0014650821685791016,5,0.22600000000000003,0.22600000000000003,1.0,0.04495999999999999,0.001258030174463602,0.03249999999999996,0.1366,0.226,0.1664,,500.0,0.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,tcrdist3,"[3.4125924110412598, 0.2224893569946289]",21,0.8617778715059982,0.8617778715059982,0.9884,0.16802913800080937,0.20282721375783794,0.1858078022772603,0.7304361669075019,0.34763253743423717,0.30638284918684855,,117.66666666666667,12.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,random,0.0014750957489013672,5,0.22599999999999998,0.22599999999999998,1.0,0.045200000000000004,0.0011502135971128346,0.03249999999999996,0.1798,0.226,0.1952,,500.0,0.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,tcrdist,"[0.23289799690246582, 1.016326904296875]",8,0.8268361581920904,0.8268361581920904,0.9832,0.1872253864930838,0.1044570350137498,0.07575757575757576,0.23692188323370572,0.26240846216436126,0.16443991220277593,,307.25,3.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,random,0.0015001296997070312,5,0.2212,0.2212,1.0,0.044239999999999995,-0.0003121891711127998,0.026499999999999996,0.2212,0.2212,0.2212,,500.0,0.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,tcrdist3,"[2.644155740737915, 0.16974711418151855]",23,0.8404970325260636,0.8404970325260636,0.9892,0.16651839870602508,0.2146131832627171,0.19479147824105014,0.7707709195411105,0.3558431055398302,0.3176255697845399,,107.52173913043478,10.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,random,0.001554250717163086,5,0.2164,0.2164,1.0,0.04328,-0.00033005540093005554,0.020499999999999997,0.1722,0.2164,0.18693333333333334,,500.0,0.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,tcrdist,"[0.23286890983581543, 0.9381086826324463]",9,0.7859024005771916,0.7857040764163509,0.9836,0.18226921512810085,0.1463836237540145,0.1041515140583233,0.3827173709729786,0.28507523383489225,0.19318433237295768,,273.22222222222223,4.0
0,0,20230718_111214,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,KMEANS,12,50.0,True,,VDJdb,beta,2500,random,0.0018310546875,5,0.2232,0.2232,1.0,0.044719999999999996,0.0006162372386779935,0.028999999999999998,0.1776,0.2232,0.1928,,500.0,0.0
