,index,Datetime,Experiment,CPUs,Chain_selection,Model_selection,Deduplicate,Downsample,Repeats,N_olga,Min_clustsize,Paired,tcrdist_Method,tcrdist_Radius,tcrdist_Hyper,tcrdist_Subset,Save,Dataset,Chain,N_total,Model,Runtime,N_clusters,purity,purity_enriched,retention,consistency,ami,accuracy,precision,recall,f1-score,support,mean_clustsize,small_clusters
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,tcrdist,"[0.5286836624145508, 0.9167184829711914]",4,0.9916666666666667,0.7541666666666667,0.0328,0.2764227642276423,0.7778691403402296,0.44999999999999996,0.9640828600066822,0.975609756097561,0.9693606475538439,,20.5,3.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,random,0.0017914772033691406,5,0.2284,0.2284,1.0,0.0456,0.0009340447657929927,0.035499999999999976,0.1824,0.2284,0.19773333333333332,,500.0,0.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,tcrdist3,"[4.165147066116333, 0.4892618656158447]",142,0.8234445507271415,0.8169891516661087,0.2936,0.05749318801089918,0.6560597486411954,0.7430945367866001,0.8877631892279867,0.8801089918256131,0.8809342612303384,,5.169014084507042,136.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,random,0.0016810894012451172,5,0.2204,0.2204,1.0,0.04424,0.0006184357073038909,0.025500000000000002,0.132,0.2204,0.16146666666666665,,500.0,0.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,tcrdist,"[0.5719954967498779, 1.020972490310669]",2,1.0,1.0,0.0032,0.5,1.0,1.0,1.0,1.0,1.0,,4.0,2.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,random,0.0018680095672607422,5,0.2172,0.2172,1.0,0.04352,-0.0006687359623795705,0.02149999999999999,0.1746,0.2172,0.1888,,500.0,0.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,tcrdist3,"[2.192493438720703, 0.47718167304992676]",145,0.8323005397506306,0.8163727893401215,0.2988,0.057831325301204814,0.6765564861940885,0.7354801406902867,0.8897270311844151,0.8875502008032129,0.8851478404632915,,5.151724137931034,138.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,random,0.0013320446014404297,5,0.2252,0.2252,1.0,0.0444,0.0010877620207297696,0.0315,0.1788,0.2252,0.19426666666666667,,500.0,0.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,tcrdist,"[0.5979321002960205, 0.9625086784362793]",4,0.9495798319327732,0.5406162464985994,0.0328,0.14634146341463414,0.7511842607592089,0.234375,0.9162971175166298,0.9512195121951219,0.9333522404991492,,20.5,2.0
0,0,20230718_122133,tcrdist_rerun,1,['beta'],"['tcrdist', 'tcrdist3']",True,500,5,0,500,True,DBSCAN,96,0.75,True,,VDJdb,beta,2500,random,0.0016269683837890625,5,0.21960000000000002,0.21960000000000002,1.0,0.04408000000000001,-0.0003054340758688215,0.024500000000000008,0.2196,0.2196,0.2196,,500.0,0.0
